Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Fasta.headers	Number.of.proteins	Peptides	Razor...unique.peptides	Unique.peptides	Peptides.621_1O2	Peptides.621_1O3	Peptides.621_1O4	Peptides.621_C3	Peptides.815_03_O1	Peptides.815_03_O2	Peptides.815_03_O5	Peptides.815_1_O6	Peptides.815_C_O4	Peptides.815_C_O5	Peptides.819_OOMP2_black_3_O4	Peptides.819_OOMP2_black_3_O5	Peptides.819_OOMP2_black_C_O4	Peptides.819_OOMP2_black_C_O5	Peptides.819_OOMP2_blue_1_only5	Razor...unique.peptides.621_1O2	Razor...unique.peptides.621_1O3	Razor...unique.peptides.621_1O4	Razor...unique.peptides.621_C3	Razor...unique.peptides.815_03_O1	Razor...unique.peptides.815_03_O2	Razor...unique.peptides.815_03_O5	Razor...unique.peptides.815_1_O6	Razor...unique.peptides.815_C_O4	Razor...unique.peptides.815_C_O5	Razor...unique.peptides.819_OOMP2_black_3_O4	Razor...unique.peptides.819_OOMP2_black_3_O5	Razor...unique.peptides.819_OOMP2_black_C_O4	Razor...unique.peptides.819_OOMP2_black_C_O5	Razor...unique.peptides.819_OOMP2_blue_1_only5	Unique.peptides.621_1O2	Unique.peptides.621_1O3	Unique.peptides.621_1O4	Unique.peptides.621_C3	Unique.peptides.815_03_O1	Unique.peptides.815_03_O2	Unique.peptides.815_03_O5	Unique.peptides.815_1_O6	Unique.peptides.815_C_O4	Unique.peptides.815_C_O5	Unique.peptides.819_OOMP2_black_3_O4	Unique.peptides.819_OOMP2_black_3_O5	Unique.peptides.819_OOMP2_black_C_O4	Unique.peptides.819_OOMP2_black_C_O5	Unique.peptides.819_OOMP2_blue_1_only5	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Sequence.length	Sequence.lengths	Q.value	Score	Identification.type.621_1O2	Identification.type.621_1O3	Identification.type.621_1O4	Identification.type.621_C3	Identification.type.815_03_O1	Identification.type.815_03_O2	Identification.type.815_03_O5	Identification.type.815_1_O6	Identification.type.815_C_O4	Identification.type.815_C_O5	Identification.type.819_OOMP2_black_3_O4	Identification.type.819_OOMP2_black_3_O5	Identification.type.819_OOMP2_black_C_O4	Identification.type.819_OOMP2_black_C_O5	Identification.type.819_OOMP2_blue_1_only5	Sequence.coverage.621_1O2....	Sequence.coverage.621_1O3....	Sequence.coverage.621_1O4....	Sequence.coverage.621_C3....	Sequence.coverage.815_03_O1....	Sequence.coverage.815_03_O2....	Sequence.coverage.815_03_O5....	Sequence.coverage.815_1_O6....	Sequence.coverage.815_C_O4....	Sequence.coverage.815_C_O5....	Sequence.coverage.819_OOMP2_black_3_O4....	Sequence.coverage.819_OOMP2_black_3_O5....	Sequence.coverage.819_OOMP2_black_C_O4....	Sequence.coverage.819_OOMP2_black_C_O5....	Sequence.coverage.819_OOMP2_blue_1_only5....	Intensity	Intensity.621_1O2	Intensity.621_1O3	Intensity.621_1O4	Intensity.621_C3	Intensity.815_03_O1	Intensity.815_03_O2	Intensity.815_03_O5	Intensity.815_1_O6	Intensity.815_C_O4	Intensity.815_C_O5	Intensity.819_OOMP2_black_3_O4	Intensity.819_OOMP2_black_3_O5	Intensity.819_OOMP2_black_C_O4	Intensity.819_OOMP2_black_C_O5	Intensity.819_OOMP2_blue_1_only5	LFQ.intensity.621_1O2	LFQ.intensity.621_1O3	LFQ.intensity.621_1O4	LFQ.intensity.621_C3	LFQ.intensity.815_03_O1	LFQ.intensity.815_03_O2	LFQ.intensity.815_03_O5	LFQ.intensity.815_1_O6	LFQ.intensity.815_C_O4	LFQ.intensity.815_C_O5	LFQ.intensity.819_OOMP2_black_3_O4	LFQ.intensity.819_OOMP2_black_3_O5	LFQ.intensity.819_OOMP2_black_C_O4	LFQ.intensity.819_OOMP2_black_C_O5	LFQ.intensity.819_OOMP2_blue_1_only5	MS.MS.count.621_1O2	MS.MS.count.621_1O3	MS.MS.count.621_1O4	MS.MS.count.621_C3	MS.MS.count.815_03_O1	MS.MS.count.815_03_O2	MS.MS.count.815_03_O5	MS.MS.count.815_1_O6	MS.MS.count.815_C_O4	MS.MS.count.815_C_O5	MS.MS.count.819_OOMP2_black_3_O4	MS.MS.count.819_OOMP2_black_3_O5	MS.MS.count.819_OOMP2_black_C_O4	MS.MS.count.819_OOMP2_black_C_O5	MS.MS.count.819_OOMP2_blue_1_only5	MS.MS.count	Only.identified.by.site	Reverse	Potential.contaminant	id	Peptide.IDs	Peptide.is.razor	Mod..peptide.IDs	Evidence.IDs	MS.MS.IDs	Best.MS.MS	Oxidation..M..site.IDs	Oxidation..M..site.positions
A0A3Q1MCR4;Q0V898	A0A3Q1MCR4;Q0V898	2;2	2;2	2;2	tr|A0A3Q1MCR4|A0A3Q1MCR4_BOVIN Negative elongation factor E OS=Bos taurus OX=9913 GN=NELFE PE=1 SV=1;sp|Q0V898|NELFE_BOVIN Negative elongation factor E OS=Bos taurus OX=9913 GN=NELFE PE=2 SV=1	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2	8.2	8.2	41.519	368	368;374	5.2715e-4	2.157	By MS/MS	By MS/MS														3.3	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	4563500	4563500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4563500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2				447	12698;13253	True;True	12942;13504	100861;105673	102925;107833	102925;107833		
A0A3Q1MCX8;F1MUA7	A0A3Q1MCX8;F1MUA7	2;1	2;1	2;1	tr|A0A3Q1MCX8|A0A3Q1MCX8_BOVIN Shootin-1 OS=Bos taurus OX=9913 GN=SHTN1 PE=1 SV=1;tr|F1MUA7|F1MUA7_BOVIN Shootin-1 OS=Bos taurus OX=9913 GN=SHTN1 PE=1 SV=3	2	2	2	2	1	1	2	1	1	0	1	1	0	0	0	0	0	0	0	1	1	2	1	1	0	1	1	0	0	0	0	0	0	0	1	1	2	1	1	0	1	1	0	0	0	0	0	0	0	4.1	4.1	4.1	71.229	628	628;550	0	3.0242	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS								1.8	1.8	4.1	2.4	2.4	0	2.4	2.4	0	0	0	0	0	0	0	28280000	3581300	0	10169000	7482900	0	0	7046600	0	0	0	0	0	0	0	0	0	0	16399000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	6				448	196;10727	True;True	196;10922	1220;1221;1222;1223;1224;85001;85002;85003	1216;1217;1218;1219;1220;86946;86947	1219;86946		
A0A3Q1NCG2;A0A3Q1MFI3;F1N290;A0A3Q1NNE9;A0A3Q1MCY4	A0A3Q1NCG2;A0A3Q1MFI3;F1N290;A0A3Q1NNE9;A0A3Q1MCY4	6;6;6;6;6	6;6;6;6;6	6;6;6;6;6	tr|A0A3Q1NCG2|A0A3Q1NCG2_BOVIN Cordon-bleu WH2 repeat protein like 1 OS=Bos taurus OX=9913 GN=COBLL1 PE=4 SV=1;tr|A0A3Q1MFI3|A0A3Q1MFI3_BOVIN Cordon-bleu WH2 repeat protein like 1 OS=Bos taurus OX=9913 GN=COBLL1 PE=4 SV=1;tr|F1N290|F1N290_BOVIN Cordon-bleu	5	6	6	6	3	2	1	3	1	1	0	0	0	0	0	0	1	1	1	3	2	1	3	1	1	0	0	0	0	0	0	1	1	1	3	2	1	3	1	1	0	0	0	0	0	0	1	1	1	6	6	6	124.34	1139	1139;1189;1213;1304;1318	0	8.3271	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS							By MS/MS	By matching	By matching	2.5	2	1.1	2.1	1.6	1	0	0	0	0	0	0	1.1	1.1	1.1	86304000	39788000	12432000	2724500	14798000	0	5420800	0	0	0	0	0	0	5472700	2266900	3401500	31625000	0	0	22233000	0	0	0	0	0	0	0	0	0	0	0	3	2	0	4	1	1	0	0	0	0	0	0	1	0	0	12				449	11319;12282;12338;13853;14271;16167	True;True;True;True;True;True	11528;12504;12565;14110;14532;16465	89616;97630;97631;98144;98145;110232;113434;129525;129526;129527;129528;129529;129530;129531;129532;129533	91722;99648;99649;100195;100196;112514;115807;132673;132674;132675;132676;132677	91722;99649;100195;112514;115807;132676		
F1MD79;A0A3Q1MD15	F1MD79;A0A3Q1MD15	3;3	3;3	3;3	tr|F1MD79|F1MD79_BOVIN Ankyrin repeat and FYVE domain containing 1 OS=Bos taurus OX=9913 GN=ANKFY1 PE=4 SV=3;tr|A0A3Q1MD15|A0A3Q1MD15_BOVIN Ankyrin repeat and FYVE domain containing 1 OS=Bos taurus OX=9913 GN=ANKFY1 PE=4 SV=1	2	3	3	3	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	3	3	3	128.84	1168	1168;1186	0	33.047	By MS/MS	By MS/MS	By MS/MS		By MS/MS			By MS/MS		By MS/MS			By MS/MS	By matching	By matching	1.1	1.9	1.1	0	1.5	0	0	1.9	0	1.9	0	0	1.9	1.1	1.1	28856000	3834400	16684000	0	0	5814100	0	0	0	0	0	0	0	0	1203800	1319000	0	8200600	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	7				450	5286;8505;10670	True;True;True	5351;8623;10865	40629;66699;66700;66701;66702;84624;84625;84626;84627	41517;68265;68266;68267;68268;86574;86575	41517;68265;86574		
A0A3Q1MD98;Q3ZBH9	A0A3Q1MD98;Q3ZBH9	2;2	2;2	2;2	tr|A0A3Q1MD98|A0A3Q1MD98_BOVIN DNA replication licensing factor MCM7 OS=Bos taurus OX=9913 GN=MCM7 PE=3 SV=1;sp|Q3ZBH9|MCM7_BOVIN DNA replication licensing factor MCM7 OS=Bos taurus OX=9913 GN=MCM7 PE=2 SV=1	2	2	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	4	75.697	672	672;719	0	2.9539		By MS/MS							By MS/MS							0	1.8	0	0	0	0	0	0	2.2	0	0	0	0	0	0	5947500	0	0	0	0	0	0	0	0	5947500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5497500	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2				451	10228;12981	True;True	10398;13230	81247;103083	83061;105247	83061;105247		
E1B9L5;A0A3Q1MDB8	E1B9L5;A0A3Q1MDB8	4;4	3;3	2;2	tr|E1B9L5|E1B9L5_BOVIN FMR1 autosomal homolog 2 OS=Bos taurus OX=9913 GN=FXR2 PE=3 SV=3;tr|A0A3Q1MDB8|A0A3Q1MDB8_BOVIN FMR1 autosomal homolog 2 OS=Bos taurus OX=9913 GN=FXR2 PE=3 SV=1	2	4	3	2	2	2	2	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6.7	5.4	4.2	71.365	643	643;673	5.2247e-4	2.1134	By MS/MS	By MS/MS	By MS/MS				By matching		By matching	By matching			By matching	By matching		2.5	3.3	3.4	0	0	0	1.2	0	1.2	1.2	0	0	1.2	1.2	0	7292300	0	7292300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3584300	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3				452	7060;13927;15628	True;False;True;True	7159;9206;14184;15918	54562;71845;71846;71847;71848;71849;71850;71851;71852;110930;125216	55745;73566;73567;73568;73569;73570;73571;113239;128290	55745;73570;113239;128290		
A0A3Q1MDG9;Q3SZ96;A0A3Q1LRV6;A7E365	A0A3Q1MDG9;Q3SZ96;A0A3Q1LRV6	3;3;2;1	3;3;2;1	3;3;2;1	tr|A0A3Q1MDG9|A0A3Q1MDG9_BOVIN Leucine zipper and CTNNBIP1 domain-containing protein OS=Bos taurus OX=9913 GN=LZIC PE=3 SV=1;tr|Q3SZ96|Q3SZ96_BOVIN Leucine zipper and CTNNBIP1 domain-containing protein (Fragment) OS=Bos taurus OX=9913 GN=LZIC PE=2 SV=1;tr|	4	3	3	3	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	17.9	17.9	17.9	21.465	190	190;196;192;50	0	2.8504				By MS/MS	By MS/MS		By MS/MS		By MS/MS							0	0	0	5.8	6.3	0	5.8	0	5.8	0	0	0	0	0	0	15974000	0	0	0	3468700	7531900	0	4973600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6195200	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	0	0	0	0	6				455	7838;8617;15702	True;True;True	7945;8735;15993	60360;60361;68310;68311;125703	61613;61614;70124;70125;70126;128774	61613;70126;128774		
A0A3Q1MDH1;Q95ML6;F1N7J2;A0A3Q1ND98;A0A3Q1MU03;A0JN32;A0A3Q1M696;F1MQ01;A0A3Q1MIH7;A0A3Q1LUI4;F1MN60;A0A3Q1LKB5;D3K0R6;A0A3Q1MR17;F1MS16;Q28164	A0A3Q1MDH1;Q95ML6;F1N7J2;A0A3Q1ND98;A0A3Q1MU03;A0JN32	9;9;9;9;7;5;2;2;2;2;2;2;2;2;2;1	9;9;9;9;7;5;2;2;2;2;2;2;2;2;2;1	9;9;9;9;7;5;2;2;2;2;2;2;2;2;2;1	tr|A0A3Q1MDH1|A0A3Q1MDH1_BOVIN Calcium-transporting ATPase OS=Bos taurus OX=9913 GN=ATP2B1 PE=1 SV=1;tr|Q95ML6|Q95ML6_BOVIN Calcium-transporting ATPase OS=Bos taurus OX=9913 PE=2 SV=1;tr|F1N7J2|F1N7J2_BOVIN Calcium-transporting ATPase OS=Bos taurus OX=9913	16	9	9	9	3	5	1	1	4	1	2	2	1	1	1	3	1	2	1	3	5	1	1	4	1	2	2	1	1	1	3	1	2	1	3	5	1	1	4	1	2	2	1	1	1	3	1	2	1	10.5	10.5	10.5	130.72	1184	1184;1220;1220;1249;1154;307;1100;1171;1173;1198;1199;1206;1207;1208;1220;473	0	38.526	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.9	5.5	0.9	0.9	5	0.9	2.4	1.9	0.9	0.9	0.9	3.7	0.9	2.1	0.9	252200000	23259000	78552000	20993000	14312000	27277000	10649000	4630000	6303100	7035600	5008600	6495500	27214000	7669300	6495200	6307900	0	29765000	0	0	0	0	0	0	0	0	0	22886000	0	18734000	0	4	8	1	2	4	0	2	1	1	1	1	4	1	2	1	33				456	4804;6690;8625;10387;10936;11830;13093;14780;14930	True;True;True;True;True;True;True;True;True	4865;6787;8744;10576;11140;12049;13343;15052;15205	37222;37223;37224;51995;51996;51997;68371;68372;68373;82636;82637;82638;82639;82640;82641;82642;82643;82644;82645;82646;82647;82648;82649;82650;86776;93426;93427;103893;117324;118520;118521	38033;38034;53210;53211;53212;70184;70185;70186;70187;84544;84545;84546;84547;84548;84549;84550;84551;84552;84553;84554;84555;84556;84557;84558;84559;88790;95781;95782;106053;119895;119896;121133;121134	38034;53210;70186;84556;88790;95781;106053;119895;121134		
A0A3Q1MDH5;Q3T0R7;A0A3Q1NEN2	A0A3Q1MDH5;Q3T0R7	20;20;8	20;20;8	20;20;8	tr|A0A3Q1MDH5|A0A3Q1MDH5_BOVIN 3-ketoacyl-CoA thiolase, mitochondrial OS=Bos taurus OX=9913 GN=ACAA2 PE=1 SV=1;sp|Q3T0R7|THIM_BOVIN 3-ketoacyl-CoA thiolase, mitochondrial OS=Bos taurus OX=9913 GN=ACAA2 PE=2 SV=1	3	20	20	20	10	10	9	6	3	2	5	3	1	3	7	5	4	4	1	10	10	9	6	3	2	5	3	1	3	7	5	4	4	1	10	10	9	6	3	2	5	3	1	3	7	5	4	4	1	54.9	54.9	54.9	41.942	395	395;397;455	0	154.17	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.2	19	23.8	12.9	17.7	9.6	30.4	14.2	3.3	7.1	22.3	20.5	17.7	10.4	2	766450000	81426000	214390000	65344000	34032000	99133000	48860000	47951000	8675400	8264000	3756200	86346000	21391000	21826000	16317000	8740200	74130000	106920000	83082000	52984000	0	0	0	0	0	0	83684000	0	73988000	35822000	0	9	16	11	7	3	2	4	3	1	3	6	5	7	3	1	81				457	2442;2787;3058;3181;3682;5756;5794;6889;6890;6891;6991;7326;14015;14016;14247;15484;16211;16558;16559;16649	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2480;2830;3104;3229;3731;5824;5869;6988;6989;6990;7090;7430;14273;14274;14508;15772;16509;16863;16864;16955	18585;18586;18587;18588;18589;21153;21154;24315;24316;24317;24318;24979;24980;24981;24982;24983;28534;44529;44530;44531;44532;44533;44534;44535;44536;44537;44538;45172;45173;45174;45175;45176;45177;53380;53381;53382;53383;53384;53385;53386;53387;53388;54060;54061;56177;56178;56179;56180;111577;111578;111579;111580;111581;111582;111583;111584;111585;111586;111587;111588;111589;111590;113323;113324;123664;129989;129990;129991;132887;132888;132889;132890;132891;132892;132893;132894;132895;132896;132897;132898;133502;133503	19403;19404;19405;19406;22067;22068;24958;24959;24960;24961;25609;25610;25611;25612;25613;29110;45694;45695;45696;45697;45698;45699;45700;45701;45702;45703;46392;46393;46394;46395;46396;46397;46398;54586;54587;54588;54589;54590;54591;54592;54593;54594;55255;55256;57308;57309;57310;57311;113937;113938;113939;113940;113941;113942;113943;113944;113945;113946;113947;113948;113949;113950;113951;115693;115694;126618;133129;133130;133131;136150;136151;136152;136153;136154;136155;136156;136157;136158;136159;136160;136161;136162;136163;136833	19404;22068;24960;25611;29110;45694;46393;54588;54591;54594;55255;57311;113939;113951;115693;126618;133130;136152;136163;136833		
A0A3Q1MDI3;Q2KI42	A0A3Q1MDI3;Q2KI42	8;8	8;8	8;8	tr|A0A3Q1MDI3|A0A3Q1MDI3_BOVIN 26S proteasome non-ATPase regulatory subunit 11 OS=Bos taurus OX=9913 GN=PSMD11 PE=3 SV=1;sp|Q2KI42|PSD11_BOVIN 26S proteasome non-ATPase regulatory subunit 11 OS=Bos taurus OX=9913 GN=PSMD11 PE=2 SV=3	2	8	8	8	1	7	1	3	2	1	1	2	2	2	1	1	1	1	1	1	7	1	3	2	1	1	2	2	2	1	1	1	1	1	1	7	1	3	2	1	1	2	2	2	1	1	1	1	1	20.1	20.1	20.1	45.847	408	408;422	0	7.6943	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	2	20.1	2	7.4	4.4	2	2.5	4.4	4.4	5.4	2.5	2.5	2	2.5	2	510850000	9819800	43587000	4699000	19049000	18187000	4413000	0	3366200	378010000	0	4349500	12785000	7406500	5175400	0	0	15581000	0	0	24108000	0	0	0	0	0	0	0	0	0	0	1	6	0	3	2	0	1	1	3	2	1	0	0	1	1	22				458	19;465;1198;1469;9645;15588;16340;16341	True;True;True;True;True;True;True;True	19;466;1210;1488;9775;15876;16644;16645	103;104;105;106;107;108;109;110;111;112;113;3348;8787;10773;76647;76648;124840;124841;131332;131333;131334;131335;131336;131337;131338;131339;131340;131341;131342;131343;131344	101;102;103;104;105;106;107;108;109;110;3458;9279;11268;78612;78613;127863;127864;134603;134604;134605;134606;134607;134608;134609;134610	104;3458;9279;11268;78612;127863;134603;134610		
A0A3Q1MDR9;Q3T106	A0A3Q1MDR9;Q3T106	2;2	2;2	2;2	tr|A0A3Q1MDR9|A0A3Q1MDR9_BOVIN Serine/arginine-rich-splicing factor 7 OS=Bos taurus OX=9913 GN=SRSF7 PE=4 SV=1;sp|Q3T106|SRSF7_BOVIN Serine/arginine-rich splicing factor 7 OS=Bos taurus OX=9913 GN=SRSF7 PE=2 SV=1	2	2	2	2	1	2	0	1	2	0	1	0	2	1	1	0	0	0	0	1	2	0	1	2	0	1	0	2	1	1	0	0	0	0	1	2	0	1	2	0	1	0	2	1	1	0	0	0	0	19	19	19	15.763	137	137;235	0	6.3594	By MS/MS	By MS/MS		By MS/MS	By MS/MS		By MS/MS		By MS/MS	By matching	By MS/MS					12.4	19	0	12.4	19	0	12.4	0	19	6.6	12.4	0	0	0	0	72822000	7595400	22268000	0	0	15879000	0	8565900	0	14480000	4033900	0	0	0	0	0	0	9321200	0	0	16384000	0	0	0	14571000	0	0	0	0	0	0	1	2	0	1	2	0	0	0	2	0	1	0	0	0	0	9				460	562;16508	True;True	563;16813	4269;4270;4271;4272;132630;132631;132632;132633;132634;132635;132636	4468;4469;4470;135861;135862;135863;135864;135865;135866;135867	4470;135864		
A0A3Q1MDS4;P11023;E1BNX1	A0A3Q1MDS4;P11023;E1BNX1	2;1;1	2;1;1	2;1;1	tr|A0A3Q1MDS4|A0A3Q1MDS4_BOVIN Ras-related protein Rab-3 OS=Bos taurus OX=9913 GN=RAB3D PE=3 SV=1;sp|P11023|RAB3A_BOVIN Ras-related protein Rab-3A OS=Bos taurus OX=9913 GN=RAB3A PE=1 SV=3;tr|E1BNX1|E1BNX1_BOVIN Ras-related protein Rab-3 OS=Bos taurus OX=99	3	2	2	2	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	10.5	10.5	10.5	24.387	219	219;220;231	0	4.6977							By MS/MS			By MS/MS			By MS/MS			0	0	0	0	0	0	10.5	0	0	3.7	0	0	3.7	0	0	13838000	0	0	0	0	0	0	8806300	0	0	5031800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6349900	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	5				462	7805;9474	True;True	7912;9604	60254;74734;74735;74736	61512;76510;76511;76512;76513	61512;76511		
Q3T0U3;A0A3Q1MDT8	Q3T0U3;A0A3Q1MDT8	14;14	14;14	14;14	tr|Q3T0U3|Q3T0U3_BOVIN Es1 protein OS=Bos taurus OX=9913 GN=ES1 PE=1 SV=1;tr|A0A3Q1MDT8|A0A3Q1MDT8_BOVIN Glutamine amidotransferase like class 1 domain containing 3A OS=Bos taurus OX=9913 GN=GATD3A PE=1 SV=1	2	14	14	14	5	12	2	6	5	6	2	3	2	1	7	7	5	3	5	5	12	2	6	5	6	2	3	2	1	7	7	5	3	5	5	12	2	6	5	6	2	3	2	1	7	7	5	3	5	52.6	52.6	52.6	28.699	274	274;446	0	177.7	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.4	48.5	8	23.7	19.7	25.9	11.7	9.9	9.9	4.7	30.3	41.2	23	12.4	27	1139400000	55432000	393750000	22091000	84318000	46836000	115740000	17860000	12509000	18315000	7895400	61248000	152960000	73748000	18547000	58162000	63536000	154300000	43673000	81920000	44825000	126200000	36535000	32553000	0	0	91766000	92052000	81221000	39291000	81698000	5	22	1	7	2	7	0	1	3	1	7	14	5	3	7	85				464	3104;4897;5209;5378;5533;5534;5994;7702;9357;10769;10770;15753;15873;16008	True;True;True;True;True;True;True;True;True;True;True;True;True;True	3150;4959;5274;5443;5598;5599;5600;6071;7808;9487;10965;10966;16045;16166;16306	24571;24572;24573;24574;24575;24576;38077;40081;40082;41238;42404;42405;42406;42407;42408;42409;42410;42411;42412;42413;42414;42415;42416;42417;42418;42419;42420;46463;46464;58941;58942;58943;58944;58945;58946;58947;58948;73891;73892;73893;73894;73895;73896;73897;73898;73899;73900;73901;73902;73903;73904;73905;85385;85386;85387;85388;85389;85390;85391;85392;85393;85394;85395;85396;85397;85398;85399;85400;126120;126121;126122;126123;126124;126125;126126;126127;126128;126129;126130;126131;126132;127062;127063;127064;128135;128136;128137	25217;25218;25219;25220;25221;25222;25223;25224;25225;25226;38952;40957;40958;42072;43266;43267;43268;43269;43270;43271;43272;43273;43274;43275;43276;43277;43278;43279;43280;43281;43282;43283;47703;47704;60086;60087;60088;60089;75631;75632;75633;75634;75635;75636;75637;75638;75639;75640;75641;75642;75643;75644;75645;75646;75647;75648;75649;75650;87348;87349;87350;87351;87352;87353;87354;87355;87356;87357;87358;87359;87360;87361;87362;87363;87364;129211;129212;129213;129214;129215;129216;129217;130181;130182;130183;130184;131246;131247;131248;131249	25217;38952;40957;42072;43269;43283;47704;60086;75639;87349;87362;129213;130183;131246	35	229
G3N2H8;Q3SYR7;G3MYL1;A0A3Q1ME53;Q9BEH4;Q862F0;F6PWD5;G3N0T8;G3MXR3	G3N2H8;Q3SYR7;G3MYL1;A0A3Q1ME53;Q9BEH4;Q862F0	7;7;7;7;4;4;3;3;3	7;7;7;7;4;4;3;3;3	7;7;7;7;4;4;3;3;3	tr|G3N2H8|G3N2H8_BOVIN 60S ribosomal protein L9 OS=Bos taurus OX=9913 PE=3 SV=1;sp|Q3SYR7|RL9_BOVIN 60S ribosomal protein L9 OS=Bos taurus OX=9913 GN=RPL9 PE=2 SV=1;tr|G3MYL1|G3MYL1_BOVIN 60S ribosomal protein L9 OS=Bos taurus OX=9913 PE=3 SV=1;tr|A0A3Q1ME	9	7	7	7	2	5	0	3	1	0	1	0	2	1	3	2	2	2	2	2	5	0	3	1	0	1	0	2	1	3	2	2	2	2	2	5	0	3	1	0	1	0	2	1	3	2	2	2	2	22	22	22	21.66	191	191;192;192;192;87;117;113;192;192	0	67.969	By MS/MS	By MS/MS		By MS/MS	By MS/MS		By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12	21.5	0	21.5	5.2	0	5.2	0	15.2	9.9	16.2	15.2	15.2	15.2	15.7	389960000	27500000	134540000	0	40936000	8808800	0	2106100	0	19064000	0	46139000	40702000	34912000	21773000	13481000	0	29318000	0	41084000	0	0	0	0	24549000	0	65743000	43961000	39883000	49865000	0	3	10	0	5	1	0	0	0	1	1	5	3	3	1	2	35				465	4104;4105;7232;10064;10065;14370;14371	True;True;True;True;True;True;True	4158;4159;7335;10227;10228;14633;14634	31761;31762;31763;31764;31765;31766;31767;31768;31769;31770;31771;31772;55599;79920;79921;79922;79923;79924;79925;79926;79927;114241;114242;114243;114244;114245;114246;114247;114248;114249;114250;114251;114252;114253	32493;32494;32495;32496;32497;32498;32499;32500;32501;32502;32503;32504;32505;56749;81815;81816;81817;81818;81819;81820;81821;81822;81823;116655;116656;116657;116658;116659;116660;116661;116662;116663;116664;116665;116666;116667	32498;32504;56749;81815;81818;116657;116667		
